idgenome distances_parent1 distances_parent2 distances_parents
282 0.36 0 0.36
283 0.3 1.48 1.52
284 0.29 0.29 0.3
285 0.59 0.76 1.07
286 1.3 0.75 0.82
287 0 0.45 0.45
288 0.37 0.38 0.03
289 0.03 0.22 0.19
290 0.89 0.51 1.2
291 1.23 1.04 1.43
292 0.6 0.32 0.55
293 0.52 0.15 0.49
294 0.21 0.92 0.8
295 0.79 1.14 1.78
296 0.94 0.21 0.9
297 0.96 0.17 1.04
298 0.88 0.32 1.01
299 0.99 0.45 0.74
300 0.85 0.52 1.16
301 0.06 0 0.06
302 0.19 0.91 0.89
303 0.01 0.22 0.22
304 0.29 0.15 0.28
305 1.02 0.6 0.67
306 0.15 0.11 0.15
307 0.05 0.21 0.22
308 0.72 0.62 0.47
309 0.16 0.1 0.26
310 0.12 0.35 0.37
311 0.4 0.19 0.24
312 0.49 0.71 1.1
313 1.69 1.47 0.58
314 0.45 0.5 0.78
315 1.07 0.02 1.06
316 0.02 0.34 0.34
317 0.83 0 0.83
318 0.43 0.38 0.68
319 0.1 0.14 0.18
320 1.18 1.52 0.9
321 1.28 1.11 0.51
322 0.99 1.13 0.29
323 0.73 0.43 0.69
324 0.48 0.8 1.04
325 0.7 0.15 0.63
326 0.78 1.29 1.25
327 0.24 0.78 0.82
328 0.81 0.87 0.41
329 0.67 0.19 0.68
330 1.83 1.64 0.66
331 0.67 0.25 0.76
332 0.73 0.56 0.59
333 0.33 1.06 0.95
334 0.65 0.72 0.97
335 0.52 0.39 0.3
336 1.44 0.63 1.34
337 0.76 0.83 0.47
338 0 0.66 0.66
339 0.39 0.28 0.58
340 0.92 0.39 0.88
341 1.73 1.73 0.13
342 0.83 0.38 0.69
343 0.37 0.84 0.88
344 0.29 0.16 0.25
345 0.86 1.07 0.72
346 0.38 0.5 0.59
347 1.43 1.38 0.28
348 0.76 0.03 0.75
349 0 0.82 0.82
350 0.61 0.19 0.57
351 0.7 0.59 0.37
352 1.06 0.76 0.52
353 0.73 0.81 0.73
354 0.16 0.17 0.24
355 0.56 0.64 0.92
356 0.3 0.64 0.56
357 0.88 0.43 0.84
358 0.35 0.42 0.64
359 0 0.17 0.17
360 0.62 1.04 0.66
361 1.13 0.78 0.76
362 0.07 0 0.07
363 0.25 0.91 0.9
364 0.57 0.65 0.36
365 0.95 0.94 1.04
366 0.33 0 0.33
367 0.38 0.84 0.92
368 1.65 1.47 0.54
369 0.56 0.51 0.45
370 1.17 0.75 0.58
371 0.87 0 0.87
372 0.42 0.39 0.63
