1|100|1|100|1|34|1|100|3|-83 
1|100|1|100|1|34|20|100|3|-35 177 
1|100|1|100|1|34|40|100|3|-76 
1|100|1|100|1|50|17|1|2|-23 49 
1|100|1|100|1|50|34|1|2|-104 
1|100|1|75|1|100|100|1|3|-25 142 
1|100|1|75|1|100|20|1|3|-330 
1|10|100|100|93|7|20|1|16|-244 
1|10|100|45|72|25|29|1|16|-103 
1|11|100|100|100|7|1|1|15|-161 
1|11|100|24|77|78|1|1|15|-261 
1|11|100|25|93|61|1|1|15|-318 
1|11|100|27|54|88|7|1|15|-223 
1|11|100|30|59|75|1|17|14|-243 
1|11|100|30|67|75|55|1|14|-241 
1|11|100|32|85|34|15|1|15|-279 
1|11|100|34|54|56|1|1|15|-79 164 251 
1|11|100|39|84|25|1|1|14|-234 
1|11|100|39|93|24|1|1|15|-294 331 
1|11|100|47|67|31|29|1|14|-66 
1|11|100|47|84|84|43|1|14|-333 
1|11|100|59|59|67|16|1|14|-8 
1|11|100|70|59|81|16|67|14|-67 
1|11|100|84|70|50|1|91|15|-45 
1|11|93|52|65|7|1|1|30|-314 
1|12|100|100|100|8|67|1|13|-40 
1|12|100|100|64|8|1|1|13|-204 337 
1|12|100|100|91|8|1|1|13|-310 
1|12|100|100|91|8|20|1|13|-203 
1|12|100|44|37|84|10|1|13|-262 
1|12|100|55|46|67|14|1|13|-144 
1|12|100|55|91|17|1|1|13|-217 
1|12|100|55|91|17|40|1|13|-237 
1|12|100|93|37|29|5|19|13|-290 
1|13|100|100|100|10|1|1|11|-303 
1|13|100|100|100|9|1|1|12|-111 141 288 293 343 
1|13|100|100|100|9|34|1|12|-160 301 
1|13|100|100|56|10|1|1|11|-242 287 
1|13|100|100|81|34|1|1|12|-256 
1|13|100|100|90|9|20|1|12|-36 108 
1|13|100|29|50|86|1|1|12|-277 
1|13|100|32|67|72|23|1|11|-184 
1|13|100|34|81|45|29|1|12|-273 
1|13|100|37|67|84|1|23|11|-26 
1|13|100|37|67|84|9|25|11|-28 
1|13|100|43|81|58|15|41|12|-302 
1|13|100|44|34|100|17|1|11|-112 
1|13|100|44|56|100|15|45|11|-283 
1|13|100|45|41|34|28|41|12|-1 208 
1|13|100|46|56|67|1|1|11|-328 
1|13|100|46|67|67|9|29|11|-131 
1|13|100|56|56|81|28|1|11|-22 
1|13|100|56|78|21|15|1|11|-300 
1|13|100|56|89|21|1|1|11|-133 
1|13|100|74|45|61|1|1|11|-139 
1|13|100|74|67|61|1|1|11|-50 
1|15|100|100|100|11|34|1|10|-257 
1|15|100|36|50|58|19|1|10|-292 
1|15|100|42|50|38|1|1|10|-30 
1|15|100|56|75|50|1|1|10|-34 
1|15|100|67|63|61|23|75|10|-24 
1|15|100|84|63|75|23|1|10|-190 
1|16|89|30|65|39|25|21|19|-219 
1|16|95|60|71|50|10|27|19|-6 
1|17|100|100|100|12|17|1|9|-126 205 275 
1|17|100|100|100|12|1|1|9|-170 231 271 309 315 345 
1|17|100|100|100|12|34|1|9|-15 62 269 349 
1|17|100|100|100|13|1|1|8|-189 225 280 319 
1|17|100|100|100|13|34|1|8|-145 224 316 
1|17|100|100|58|12|1|1|9|-266 
1|17|100|100|67|13|1|1|8|-235 
1|17|100|100|84|13|1|1|8|-212 289 297 339 
1|17|100|100|86|12|1|1|9|-211 222 348 
1|17|100|41|1|81|1|1|8|-99 119 
1|17|100|41|50|81|12|1|8|-322 
1|17|100|45|67|50|20|1|8|-285 
1|17|100|57|72|25|1|1|9|-215 
1|17|100|58|67|29|15|1|8|-298 
1|17|100|61|58|61|17|29|9|-335 
1|17|100|67|50|34|9|1|8|-56 
1|17|100|81|67|41|29|1|8|-312 
1|17|100|89|50|100|50|100|8|-264 
1|17|87|57|41|84|5|72|17|-42 
1|19|86|41|72|41|1|1|16|-344 
1|1|1|100|1|100|100|1|1|-3 87 
1|1|1|100|1|100|1|1|1|-313 
1|1|1|100|1|100|25|1|1|-95 233 
1|1|1|100|1|100|50|1|1|-14 51 
