generation idgenome branching connectivity1 connectivity2 coverage effective_joints length_ratio sensors symmetry total_components
7 376 0 0.167 1 0.4 0.833 0.8 0.375 0 0.08
7 377 0 0.25 1 1 1 0.167 0.333333 0 0.06
7 378 0 0.333 1 1 1 0.25 0.333333 0 0.04
7 379 0 0.1 1 0.28 0.917 0.5 0 0 0.14
7 380 0 0.2 1 1 1 0.143 0.333333 0 0.07
7 381 0 0.25 1 1 1 0.167 0 0 0.06
7 382 0 0.125 1 1 1 0.083 0.333333 0 0.12
7 383 0 0.143 1 0.556 0.875 0.222 0.2 0 0.1
7 384 0 0.2 1 0.467 0.6 0.6 0.285714 0 0.07
7 385 0 0.083 1 1 0.813 0.056 0 0 0.18
7 386 0 0.2 1 1 1 0.143 0.333333 0 0.07
7 387 0 0.05 1 1 1 0.034 0 0 0.29
7 388 0 0.071 1 0.222 0.722 0.4 0.5 0 0.2
7 389 0 0.2 1 1 1 0.143 0 0 0.07
7 390 0 0.053 1 1 0.731 0.036 0 0 0.28
7 391 0 0.125 1 0.4 0.9 0.3 0 0 0.12
7 392 0 0.067 1 1 1 0.045 0.333333 0 0.22
7 393 0 0.2 1 1 1 0.143 0.333333 0 0.07
7 394 0 0.167 1 1 1 0.111 0 0 0.09
7 395 0 0.286 0.684 0.35 0.579 0.6 0.1 0.421 0.21
7 396 0 0.143 1 1 0.875 0.1 0.2 0 0.1
7 397 0 0.167 1 1 1 0.125 0 0 0.08
7 398 0 0.167 1 1 1 0.111 0 0 0.09
7 399 0 0.25 1 1 0.75 0.167 0 0 0.06
