generation idgenome branching connectivity1 connectivity2 coverage effective_joints length_ratio sensors symmetry total_components
1 96 0 0.4 0.6 0.467 0.6 0.6 0.142857 0 0.07
1 97 0 0.2 1 0.467 0.6 0.6 0.285714 0 0.07
1 98 0 0.2 1 1 1 0.143 1 0 0.07
1 99 0 0.167 1 0.4 0 0.8 0 0 0.08
2 100 0 0.333 1 1 1 0.25 0.333333 0 0.04
2 101 0 0.6 0.2 0.583 0 0.75 0.1 0.5 0.07
2 102 0 0.2 1 1 1 0.143 0 0 0.07
2 103 0 0.091 1 0.444 0.714 0.25 0.285714 0 0.16
2 104 0 1 0 1 0 0.5 0.333333 0 0.02
2 105 0 0.5 0.75 0.5 0.25 0.75 0.333333 0 0.06
2 106 0 0.083 1 1 1 0.059 0 0 0.17
2 107 0 0.75 0.25 0.667 0 1 0 0.667 0.06
2 108 0 0.125 1 1 0.9 0.083 0.2 0 0.12
2 109 0 0.333 1 1 1 0.25 0.5 0 0.04
2 110 0 0.2 1 0.467 0.6 0.6 0 0 0.07
2 111 0 0.125 1 1 1 0.083 0 0 0.12
2 112 0 0.125 1 0.44 0.333 1 0.166667 0 0.11
2 113 0 0.333 1 1 1 0.25 0.333333 0 0.04
2 114 0 0.059 1 1 0.696 0.04 0 0 0.25
2 115 0 0.077 1 0.264 0.882 0.889 0.2 0.353 0.19
2 116 0 0.059 1 1 0.826 0.04 0 0 0.25
2 117 0 0.25 1 0.5 0.5 0.75 0.142857 0 0.06
2 118 0 0.5 1 1 1 0.333 1 0 0.03
2 119 0 0.167 1 0.4 0 0.8 0 0 0.08
2 120 0 0.071 1 0.417 0.611 0.75 0.176471 0 0.2
2 121 0 0.667 0.5 1 0.5 0.25 0.125 0.667 0.04
2 122 0 0.4 0.8 0.438 0.2 1 0 0.333 0.07
2 123 0 0.2 1 1 1 0.143 1 0 0.07
2 124 0 0.25 0.733 0.386 0.6 0.364 0 0 0.17
2 125 0 0.083 1 0.531 0.933 0.125 0 0 0.17
2 126 0 0.167 1 1 1 0.111 0.166667 0 0.09
2 127 0 0.2 1 0.583 0.8 0.333 0.25 0 0.07
2 128 0 0.2 1 0.438 0.6 1 0 0 0.07
2 129 0 0.083 1 0.378 0.867 0.2 0.2 0 0.17
2 130 0 0.5 0.444 0.367 0.222 0.833 0.214286 0 0.11
2 131 0 0.125 1 0.458 0.667 0.667 0.0833333 0.286 0.11
2 132 0 0.2 1 1 1 0.143 0 0 0.07
2 133 0 0.125 1 0.55 0.889 0.2 0 0 0.11
2 134 0 0.25 0.889 0.55 0.889 0.2 0 0 0.11
2 135 0 0.2 1 1 1 0.143 0 0 0.07
2 136 0 0.333 1 1 1 0.25 0 0 0.04
2 137 0 0.5 0.75 0.5 0.5 0.75 0 0 0.06
2 138 0 0.333 1 1 1 0.25 0.333333 0 0.04
2 139 0 0.125 1 0.733 0.444 0.6 0 0 0.11
2 140 0 0.2 1 0.583 0.6 0.75 0.428571 0 0.07
2 141 0 0.125 1 1 1 0.083 0 0 0.12
2 142 0 1 0 0.75 0 1 1 0 0.03
2 143 0 0.333 1 1 1 0.25 0.333333 0 0.04
2 144 0 0.111 1 0.542 0.455 0.667 0.133333 0 0.13
2 145 0 0.167 1 1 1 0.125 0.333333 0 0.08
2 146 0 0.25 1 0.667 0.5 1 0.285714 0 0.06
2 147 0 0.2 1 0.467 0.8 0.6 0 0 0.07
2 148 0 0.5 1 1 1 0.333 0.333333 0 0.03
2 149 0 0.667 0.5 1 0 1 0.285714 0 0.04
3 150 0 0.037 1 0.301 0.789 0.368 0 0.789 0.4
3 151 0 0.5 0.667 0.625 0.333 0.5 0 0 0.05
3 152 0.333 0.5 0.5 0.343 0 0.714 0 0 0.12
3 153 0 0.2 1 0.467 0.2 0.6 0.214286 0 0.07
3 154 0 0.5 0.333 0.556 0.333 1 0 0 0.05
3 155 0 0.083 1 0.375 0.875 0.188 0 0 0.18
3 156 0 0.273 0.714 0.291 0.571 0.455 0.166667 0 0.16
3 157 0 0.071 1 0.476 0.778 0.857 0 0.333 0.2
3 158 0 0.056 1 0.169 0.52 0.4 0.185185 0 0.27
3 159 0 0.5 0.75 0.6 0.25 0.4 0.333333 0.8 0.06
3 160 0 0.125 1 1 1 0.083 0.333333 0 0.12
3 161 0 0.1 1 1 1 0.067 0 0 0.15
3 162 0 0.056 1 0.25 0.52 0.75 0 0 0.27
